Prefill Len,Prefill Batch,Prefill Tokens,Decode batch size,Decode len,CU mask
256,16,4096,8,4096,96
256,32,8192,8,4096,96
512,1,512,8,4096,96
512,4,2048,8,4096,96
512,8,4096,8,4096,96
512,16,8192,8,4096,96
1024,1,1024,8,4096,96
1024,4,4096,8,4096,96
1024,8,8192,8,4096,96
2048,1,2048,8,4096,96
2048,4,8192,8,4096,96
2048,8,16384,8,4096,96
4096,1,4096,8,4096,96
4096,4,16384,8,4096,96
256,1,256,16,4096,96
256,4,1024,16,4096,96
256,8,2048,16,4096,96
256,16,4096,16,4096,96
256,32,8192,16,4096,96
512,1,512,16,4096,96
512,4,2048,16,4096,96
512,8,4096,16,4096,96
512,16,8192,16,4096,96
1024,1,1024,16,4096,96
1024,4,4096,16,4096,96
1024,8,8192,16,4096,96
2048,1,2048,16,4096,96
2048,4,8192,16,4096,96
2048,8,16384,16,4096,96
4096,1,4096,16,4096,96
